QUEST;id_domicilio;ESTRATO;UPA;id_morador;resp_sexo;resp_idade;resp_escolaridade;resp_pea;religiao_kids;raca_resp_kids;D1;D2;D3_A;D3_B;D3_C;D3_D;D3_E;D3_F;D3_G;D3_H;D3_I;D3_outro;D3_outro_desc;D3_J;D4;D5;D6;D7_A;D7_B;D7_C;D7_D;D7_E;D7_F;D7_G;D7_outro;D7_outro_desc;D7_H;E3;E4_A;E4_B;E4_C;E4_D;E4_E;E4_F;E4_G;E5_A;E5_B;E5_C;E5_D;E5_E;E5_F;E5_G;E6_A;E6_B;E6_C;E6_D;E6_E;E6_F;E6_G;E7_A;E7_B;E7_C;E7_D;F1;F3;F4_A;F4_B;F5_A;F5_B;F5_C;F5_D;F5_E;F5_F;F6_A;F6_B;F6_C;F6_D;F6_E;F6_F;F6_G;F6_H;F6_I;F6_outro;F6_outro_desc;F6_J;L1;L2;L3_A;L3_B;L3_C;L3_D;L3_E;L3_F;L3_G;L3_H;L3_I;L3_J;L3_outro;L3_outro_desc;L3_K;L4;AF1_A;AF1_B;AF1_C;AF1_D;sexo_kids;idade_kids;ESC1;raca_kids;M1_A;M1_B;M1_C;M1_D;M1_E;M1_F;M1_outro;M1_outro_desc;M2;M3;M4_A;M4_B;M4_C;M4_D;M4_E;M4_F;M4_G;M4_H;M4_I;M4_J;M4_outro;M4_outro_desc;M4_K;M5;M6_A;M6_B;M7_A;M7_B;M7_C;M7_D;M7_E;M7_F;M7_G;M7_H;M8;N1_A;N1_B;N1_C;N1_D;N1_E;N1_F;N1_G;N1_H;N1_I;N1_J;N1_K;N1_L;N1_M;N1_N;N1_O;N1_P;N1_Q;N1_R;N2_A;N2_B;N2_C;N2_D;N2_E;N2_F;N2_G;N2_H;N3;O1_A;O1_B;O1_C;O1_D;O1_E;O1_outro;O1_outro_desc_1;O1_outro_desc_2;O1_outro_desc_3;O2;O3;O4;O5_A;O5_B;O5_C;O5_D;O5_E;O5_F;O6;O7;O8;P1_A;P1_B;P1_C;P1_D;P1_E;P1_F;P1_G;P1_H;P1_outro;P1_outro_desc;P1_I;P2;P3;R1_A;R1_B;R1_C;R2_A;R2_B;R2_C;R2_D;R2_E;R3_A;R3_B;R3_C;R3_D;U1;U2_A;U2_B;U2_C;U2_D;U2_E;U2_F;U2_G;U3_A;U3_B;U3_C;U3_D;U3_E;U3_F;U3_G;U4_A;U4_B;U4_C;U4_D;U4_E;U4_F;U4_G;U5_A;U5_B;U5_C;U5_D;U5_E;U5_F;U5_G;U6_A;U6_B;U6_C;U6_D;U6_E;U6_F;U6_G;U6_H;T1;T2_A;T2_B;T2_C;T2_D;T2_OUTRO;T3;T4;T5_A;T5_B;T5_C;T5_D;T5_E;T5_F;T5_OUTRO;T6;T7_A;T7_B;T7_C;T7_D;T7_E;T8;T9_A;T9_B;T9_C;T9_D;T9_E;T9_F;T10_A;T10_B;T10_C;T10_D;T10_E;T11_A;T11_B;T11_C;T11_D;T11_E;T11_F;T12_A;T12_B;T12_C;T12_D;T12_E;T12_F;T13_A;T13_B;T13_C;T13_D;T13_E;T13_F;T14;T15_A;T15_B;T15_C;T15_D;T15_E;T15_F;T16;T17;T18;T19_A;T19_B;T19_C;T19_D;T19_E;T19_F;T19_G;T19_H;T19_I;T19_J;T19_OUTRO;T20;T21_A;T21_B;T21_C;T21_D;T21_E;T21_F;T21_G;T21_H;T21_I;T21_J;T21_K;AV1_1;AV1_2;AV1_3;AV1_4;AV2_1;AV2_2;AV2_3;AV2_4;AV3_1;AV3_2;AV3_3;AV3_4;AV3_5;AV3_6;AV4;AV5;Peso;cod_regiao;area;RENDA_FAMILIAR;CLASSE_2008;CLASSE_2015
11626;11626;78;502;3;2;47;6;1;1;4;1;1;99;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;99;0;97;0;0;0;0;0;1;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;0;3;3;3;0;0;0;97;0;0;0;0;0;0;0;0;0;0;0;0;99;1;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;13;8;1;1;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;5;0;1;1;0;0;1;1;0;0;0;10;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;99;99;4;99;4;99;99;1;99;1;0;0;1;0;0;99;99;99;1;6;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;99;99;0;0;3;3;3;1;1;1;1;1;1;1;1;1;97;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;1;0;1;1;0;1;1;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;1;0;1;1;1;0;1;0;0;1;0;1;0;1;0;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;3;3;8163,88517237486;2;1;2;8;6
11658;11658;78;503;3;1;31;10;3;1;2;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;0;0;0;0;1;0;99;99;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;2;1;3;1;3;0;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;1;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;0;1;11;6;3;0;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;2;1;0;0;1;0;0;0;0;1;0;10;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0;0;1;1;99;99;3;99;99;99;2;1;99;1;0;0;1;0;0;99;99;99;1;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;99;99;0;0;1;2;3;0;0;0;1;0;1;0;1;1;1;1;1;2;1;2;1;3;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;1;0;0;0;0;1;0;0;0;1;0;0;3;1;27920,2706340545;2;1;3;6;3
11671;11671;27;110;3;2;38;8;4;1;2;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;98;98;98;98;98;98;98;98;98;0;99;99;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;99;99;99;99;99;99;99;99;99;99;99;0;2;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;99;99;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;1;0;2;15;8;3;0;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;3;0;1;1;1;0;0;0;0;0;0;14;0;1;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;99;2;2;2;99;2;99;2;0;0;0;0;1;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;0;0;0;0;0;0;99;1;0;0;3;3;3;0;1;0;1;1;1;0;1;1;1;1;1;1;3;3;3;3;1;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;99;99;99;99;99;99;99;99;97;97;97;97;97;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3;1;2598,23698111104;2;1;1;8;6
11696;11696;27;110;2;1;26;8;3;3;2;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;2;1;0;0;0;0;0;0;0;99;99;0;1;1;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;3;1;3;0;0;0;0;1;3;2;2;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;99;99;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;2;17;12;2;1;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;0;0;0;15;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;99;99;1;3;99;99;3;2;99;1;0;0;1;0;0;99;99;99;1;2;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;99;1;0;0;1;3;3;1;1;0;1;0;1;0;1;1;1;1;1;3;1;3;1;3;1;1;1;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;99;99;99;99;99;99;99;99;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;1;0;0;0;1;0;0;0;0;0;1;0;0;3;1;2257,46562543999;2;1;1;8;5
11704;11704;27;110;2;1;48;5;4;1;2;1;2;1;1;1;0;0;1;1;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;9;4;2;0;0;0;0;0;0;0;99;0;99;1;1;1;0;1;0;1;1;1;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99999999;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;99;99;99;99;99;99;99;99;99;99;2;2;6974,25905528537;2;1;1;6;6
11705;11705;27;110;1;1;41;6;2;7;2;0;99;1;0;1;0;0;0;0;1;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;9;4;2;0;0;0;0;0;0;0;99;0;99;1;0;1;0;0;1;0;1;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99999999;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;99;99;99;99;99;99;99;99;99;99;2;2;3248,06758162919;2;1;1;8;6
11707;11707;27;110;3;2;31;7;4;1;4;0;99;1;1;1;1;0;1;1;1;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;1;0;1;9;5;4;0;0;0;0;0;0;0;99;0;99;1;1;1;0;1;0;1;0;1;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99999999;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;99;99;99;99;99;99;99;99;99;99;2;2;10576,1397785286;2;1;1;8;6
11718;11718;27;110;2;2;45;10;1;1;1;1;1;99;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;99;1;0;1;1;1;1;1;1;0;1;1;1;0;0;1;99;99;99;99;99;99;99;99;99;99;99;0;1;1;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;99;99;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;13;8;3;1;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;2;1;0;0;1;0;0;0;0;0;0;11;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;99;3;99;2;99;99;99;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;0;0;0;1;1;0;99;99;0;0;3;3;3;0;0;0;0;0;1;0;1;1;2;3;3;1;3;3;3;3;0;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3;1;15772,5861162338;2;1;3;6;5
11719;11719;27;110;3;2;53;10;1;1;4;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;0;1;0;0;0;0;0;0;99;99;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;3;2;2;3;3;3;3;1;0;0;0;0;2;2;3;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;99;99;0;1;0;0;0;0;0;0;0;0;0;1;0;99;99;0;1;0;0;0;2;9;4;1;1;1;1;0;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;1;99;99;0;0;0;0;0;0;0;1;7;0;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;99;2;5;3;1;99;97;99;99;0;1;0;0;0;0;99;99;99;2;1;3;1;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;1;0;0;1;1;0;1;1;1;3;3;2;2;3;3;3;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;0;0;0;99;99;99;99;99;99;99;99;1;0;0;1;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;0;0;0;1;0;0;0;1;0;0;3;1;3940,7862224477;2;1;2;8;5
11720;11720;27;110;2;2;26;7;4;1;4;0;99;1;1;1;1;0;1;1;1;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;0;1;10;5;4;0;0;0;0;0;0;0;99;0;99;0;0;0;0;0;1;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99999999;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;0;99;99;99;99;99;99;99;99;99;99;3;1;8445,36521070029;2;1;1;6;6
11739;11739;27;110;2;2;30;6;1;1;2;0;99;0;1;1;0;0;0;1;0;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;14;8;2;0;0;0;0;0;0;0;99;0;99;1;0;0;0;1;0;1;1;1;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99999999;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;99;99;99;99;99;99;99;99;99;99;3;1;9084,86863428051;2;1;1;8;6
11743;11743;27;110;2;2;39;9;5;1;1;0;99;1;1;1;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;11;6;1;0;0;0;0;0;0;0;99;1;2;1;0;0;0;0;1;1;1;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99999999;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;99;99;99;99;99;99;99;99;99;99;2;2;2731,2213426246;2;1;2;6;5
11747;11747;27;110;8;2;35;5;5;1;4;0;99;1;0;1;1;0;0;1;1;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;0;2;9;3;4;0;0;0;0;0;0;0;99;0;99;1;0;0;0;1;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99999999;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;1;0;99;99;99;99;99;99;99;99;99;99;2;2;11878,3330945975;2;1;2;8;6
11753;11753;27;110;2;2;35;10;1;1;3;0;99;1;1;1;0;0;1;1;1;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;2;11;6;3;0;0;0;0;0;0;0;99;0;99;1;1;1;0;1;0;1;1;1;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99999999;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;99;99;99;99;99;99;99;99;99;99;1;1;3187,05852827747;2;1;1;6;6
11755;11755;27;110;3;2;57;6;1;4;1;1;1;99;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;1;0;1;1;1;0;0;1;1;0;1;1;99;99;99;99;99;99;99;99;99;99;99;0;97;3;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;99;99;97;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;1;0;0;2;15;10;1;1;1;0;1;1;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;3;1;1;0;1;1;1;0;0;0;0;13;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;1;99;3;3;3;1;3;3;5;0;1;0;0;0;0;0;99;99;99;1;97;2;1;1;1;0;0;0;0;0;0;1;1;0;1;0;1;1;1;0;99;99;0;0;3;2;3;1;0;0;1;0;0;0;1;1;3;1;1;1;1;1;1;3;0;1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3;3;3301,70817997108;2;1;2;8;6
11771;11771;27;110;1;2;38;7;1;1;2;0;99;1;1;1;0;0;1;1;0;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;10;6;2;0;0;0;0;0;0;0;99;0;99;1;1;0;0;1;1;1;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99999999;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;99;99;99;99;99;99;99;99;99;99;3;1;6948,3451298768;2;2;1;8;6
